RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        36300     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     2.258D+00  6.536D+03
    1    2     1     0  ---    0  1.2D-02  1.0D+00  2.333D+00  6.481D+03
    2    3     0     0  con    0  1.0D+00  1.2D+00  2.361D+00  6.452D+03
    3    4     0     0  con    0  1.0D+00  9.0D-01  2.667D+00  6.412D+03
    4    5     0     0  con    0  1.0D+00  1.4D+00  2.341D+00  6.368D+03
    5    6     0     0  con    0  1.0D+00  1.1D+00  2.367D+00  6.335D+03
    6    7     0     0  con    0  1.0D+00  1.4D+00  2.255D+00  6.293D+03
    7    8     0     0  con    0  1.0D+00  1.5D+00  1.883D+00  6.256D+03
    8    9     0     0  con    0  1.0D+00  2.2D+00  1.903D+00  6.215D+03
    9   10     0     0  con    0  1.0D+00  2.3D+00  2.394D+00  6.179D+03
   10   11     0     0  con    0  1.0D+00  2.3D+00  1.778D+00  6.149D+03
   11   12     0     0  con    0  1.0D+00  2.5D+00  1.351D+00  6.119D+03
   12   13     0     0  con    0  1.0D+00  2.8D+00  1.385D+00  6.091D+03
   13   14     0     0  con    0  1.0D+00  3.0D+00  1.095D+00  6.066D+03
   14   15     0     0  con    0  1.0D+00  3.1D+00  1.045D+00  6.044D+03
   15   16     0     0  con    0  1.0D+00  3.1D+00  1.019D+00  6.024D+03
   16   17     0     0  con    0  1.0D+00  3.2D+00  9.116D-01  6.007D+03
   17   18     0     0  con    0  1.0D+00  2.8D+00  8.017D-01  5.992D+03
   18   19     0     0  con    0  1.0D+00  2.7D+00  7.360D-01  5.978D+03
   19   20     0     0  con    0  1.0D+00  2.3D+00  5.758D-01  5.966D+03
   20   21     0     0  con    0  1.0D+00  2.4D+00  6.311D-01  5.955D+03
   21   22     0     0  con    0  1.0D+00  2.4D+00  6.895D-01  5.944D+03
   22   23     0     0  con    0  1.0D+00  2.2D+00  6.539D-01  5.935D+03
   23   24     0     0  con    0  1.0D+00  3.0D+00  4.740D-01  5.926D+03
   24   25     0     0  con    0  1.0D+00  3.5D+00  6.196D-01  5.918D+03
