RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        25600     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.619D+02  3.805D+05
    1    2     1     0  ---    0  1.8D-04  1.0D+00  1.706D+02  3.780D+05
    2    3     0     0  con    0  1.0D+00  4.7D-01  1.551D+02  3.764D+05
    3    4     0     0  con    0  1.0D+00  1.3D+00  1.880D+02  3.759D+05
    4    5     0     0  con    0  1.0D+00  3.8D-01  2.111D+02  3.738D+05
    5    6     0     0  con    0  1.0D+00  8.2D-01  1.946D+02  3.736D+05
    6    7     0     0  con    0  1.0D+00  4.8D-01  1.980D+02  3.718D+05
    7    8     0     0  con    0  1.0D+00  1.2D+00  2.264D+02  3.718D+05
    8    9     0     0  con    0  1.0D+00  4.3D-01  1.946D+02  3.697D+05
    9   10     0     0  con    0  1.0D+00  7.9D-01  2.881D+02  3.695D+05
   10   11     0     0  con    0  1.0D+00  5.0D-01  2.001D+02  3.678D+05
   11   12     0     0  con    0  1.0D+00  7.8D-01  2.853D+02  3.671D+05
   12   13     0     0  con    0  1.0D+00  4.6D-01  2.124D+02  3.658D+05
   13   14     0     0  con    0  1.0D+00  1.2D+00  2.648D+02  3.650D+05
   14   15     0     0  con    0  1.0D+00  5.8D-01  2.538D+02  3.640D+05
   15   16     0     0  con    0  1.0D+00  1.6D+00  2.782D+02  3.632D+05
   16   17     0     0  con    0  1.0D+00  5.3D-01  2.632D+02  3.622D+05
   17   18     0     0  con    0  1.0D+00  1.7D+00  2.508D+02  3.617D+05
   18   19     0     0  con    0  1.0D+00  5.0D-01  2.583D+02  3.607D+05
   19   20     0     0  con    0  1.0D+00  1.3D+00  2.968D+02  3.603D+05
   20   21     0     0  con    0  1.0D+00  5.6D-01  2.616D+02  3.593D+05
   21   22     0     0  con    0  1.0D+00  5.9D-01  2.478D+02  3.586D+05
   22   23     0     0  con    0  1.0D+00  7.4D-01  3.742D+02  3.580D+05
   23   24     0     0  con    0  1.0D+00  1.5D+00  3.506D+02  3.571D+05
   24   25     0     0  con    0  1.0D+00  1.1D+00  2.396D+02  3.565D+05
   25   26     0     0  con    0  1.0D+00  8.3D-01  2.369D+02  3.559D+05
   26   27     0     0  con    0  1.0D+00  9.6D-01  2.236D+02  3.553D+05
   27   28     0     0  con    0  1.0D+00  1.4D+00  4.554D+02  3.547D+05
   28   29     0     0  con    0  1.0D+00  9.6D-01  2.918D+02  3.541D+05
   29   30     0     0  con    0  1.0D+00  8.0D-01  2.437D+02  3.536D+05
   30   31     0     0  con    0  1.0D+00  9.8D-01  3.199D+02  3.531D+05
   31   32     0     0  con    0  1.0D+00  1.8D+00  5.028D+02  3.526D+05
   32   33     0     0  con    0  1.0D+00  1.3D+00  3.858D+02  3.520D+05
   33   34     0     0  con    0  1.0D+00  1.4D+00  5.374D+02  3.516D+05
